id,projectNameTH,projectNameEN,projectNameTHSlug,projectNameENSlug,propertyType,startingPrice,cityCode,creationTime,lastEditTime,publishTime,logoMediaId
1c4d9a89-9403-4681-be9c-967796078dcd,บี รีช เฮ้าส์ โคราช,Be Rich House Korat,บี-รีช-เฮ้าส์-โคราช,Be-Rich-House-Korat,S,1890000.0,6644,2023-04-12T09:28:46.8873604,2023-04-12T10:16:52.7925663,2023-04-12T09:28:46.8873604,2e6d291f-7c65-4cd9-afa5-beef8b7a6856
5488ea6c-6b34-4652-bf97-f1b65055cbc1,เดอะ เบส ดาวน์ทาวน์ ขอนแก่น,The Best Down Town Khonkaen,เดอะ-เบส-ดาวน์ทาวน์-ขอนแก่น,The-Best-Down-Town-Khonkaen,C,1390000.0,6643,2023-04-12T07:53:15.3318936,2023-04-12T09:25:51.7534316,2023-04-12T07:53:15.3318936,efe4145f-224d-4e93-8041-be672ca725c1
65704e08-754b-4053-98b9-1e8d16b1d5c1,ดิ เอ็กเซลเลนซ์ โคราช สุระ2-บายพาส,The Excellence Korat,ดิ-เอ็กเซลเลนซ์-โคราช-สุระ2-บายพาส,The-Excellence-Korat,"B,T",3790000.0,6644,2023-04-12T07:01:24.2711697,2023-04-12T07:39:12.2694945,2023-04-12T07:01:24.2711697,28f3a57e-a2e6-44d2-9cda-2d75e602967b
b048b414-34c8-421f-a687-14574378441b,ศิรี เฮาส์,Siree House,ศิรี-เฮาส์,Siree-House,S,2490000.0,6643,2023-04-12T06:23:38.8086942,2023-04-12T06:50:56.407424,2023-04-12T06:23:38.8086942,9240903b-aa18-407f-831a-07731b1dd81e
7ab21a72-028a-4e9d-b8cb-e24e06ec6284,ชลันตา ขอนแก่น,Chalanta Khon Kaen,ชลันตา-ขอนแก่น,Chalanta-Khon-Kaen,S,3000000.0,6643,2023-04-12T05:46:26.7029656,2023-04-12T06:36:30.7572684,2023-04-12T05:46:26.7029656,d1df43cf-0647-4dbc-aa6e-3681da90e2ab
27154c72-3240-43c3-9596-be2fa54ee86f,บ้านแฮปปี้ไลฟ์,Happy Life Home,บ้านแฮปปี้ไลฟ์,Happy-Life-Home,S,1790000.0,6631,2023-04-12T05:17:29.2808751,2023-04-12T05:40:01.8315184,2023-04-12T05:17:29.2808751,b89c87cb-db9d-46bf-abf3-0d6ebd11ed43
3ec60f0b-7123-4c51-a617-2b9db6a9aeb5,บ้านวงศา บุรีรัมย์,Wongsa house Buriram,บ้านวงศา-บุรีรัมย์,Wongsa-house-Buriram,S,2390000.0,6631,2023-04-12T04:51:43.6149617,2023-04-12T05:15:54.0483129,2023-04-12T04:56:39.5686154,b7a290bf-6afe-4a13-8819-25ef0b8f0bc8
004d40c3-a9ea-4df7-aa46-5bad962ce353,ศุภาลัย รอยัลริเวอร์ 2 ขอนแก่น,Supalai Royal River Khonkaen,ศุภาลัย-รอยัลริเวอร์-2-ขอนแก่น,Supalai-Royal-River-Khonkaen,S,2050000.0,6643,2023-04-10T08:52:33.0702858,2023-04-12T05:51:29.7883278,2023-04-10T08:52:33.0702858,4061fd7c-c030-470e-9301-572af5b28618
4d4da728-624c-4c1c-8f51-34bf6c2f965b,ศุภาลัย ปาล์มสปริงส์ บึงแก่นนคร,Supalai Palm Spring Khonkaen,ศุภาลัย-ปาล์มสปริงส์-บึงแก่นนคร,Supalai-Palm-Spring-Khonkaen,S,4000000.0,6643,2023-04-10T08:11:48.3449368,2023-04-12T05:51:15.9203931,2023-04-10T08:11:48.3449368,93198f43-76f4-421a-9a56-ab9ebe93418d
0690f61b-70ad-4b6f-9e07-ae44a93383e9,ศุภาลัย ปาล์มสปริงส์ นครราชสีมา,Supalai Palm Spring Nakhon Ratchasima,ศุภาลัย-ปาล์มสปริงส์-นครราชสีมา,Supalai-Palm-Spring-Nakhon-Ratchasima,S,2890000.0,6644,2023-04-10T07:23:08.7806513,2023-04-12T05:50:57.2876368,2023-04-10T07:23:08.7806513,aaa7f423-6589-4e2c-a7dd-da2ab8cd2bd6
